#,Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
74,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),3.658,3.703,3.625,3.632,3.661,3.6558,3.658,18.279
47,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),4.55,4.557,4.568,4.57,4.549,4.5588,4.557,22.794
34,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),4.664,4.645,4.679,4.662,4.666,4.6632,4.664,23.316
60,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),5.401,5.418,5.375,5.412,5.71,5.4632,5.412,27.316
21,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),7.681,7.365,7.367,7.364,7.362,7.4278,7.365,37.139
5,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),1.822,1.678,1.668,1.667,1.663,1.6996,1.668,8.498
71,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),3.557,3.555,3.556,3.569,3.558,3.559,3.557,17.795
44,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),4.357,4.385,4.37,4.382,4.37,4.3728,4.37,21.864
31,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),4.608,4.581,4.597,4.579,4.584,4.5898,4.584,22.949
57,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),5.332,5.32,5.313,5.331,5.319,5.323,5.32,26.615
18,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istrstream (memory mapped),6.567,6.556,6.508,6.512,6.5,6.5286,6.512,32.643
89,2016-05-07,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = char const*",N/A,0.313,0.308,0.294,0.296,0.294,0.301,0.296,1.505
84,2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = char const*",N/A,0.333,0.325,0.334,0.328,0.33,0.33,0.33,1.65
79,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = std::string",N/A,0.566,0.559,0.557,0.578,0.554,0.5628,0.559,2.814
90,2016-05-07,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = std::string",N/A,0.558,0.566,0.562,0.571,0.569,0.5652,0.566,2.826
85,2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = std::string",N/A,0.735,0.738,0.705,0.713,0.703,0.7188,0.713,3.594
65,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2015-07-13,"Parse only, read type = std::string",N/A,0.754,0.751,0.77,0.694,0.749,0.7436,0.751,3.718
10,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0,0,0,0,0,0,0,0
23,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.213,0.211,0.213,0.211,0.211,0.2118,0.211,1.059
36,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.212,0.211,0.211,0.211,0.214,0.2118,0.211,1.059
49,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.21,0.216,0.212,0.211,0.211,0.212,0.211,1.06
62,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.212,0.212,0.211,0.209,0.209,0.2106,0.211,1.053
76,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.21,0.211,0.212,0.209,0.215,0.2114,0.211,1.057
88,2016-05-07,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,dfg::io::BasicImStream (memory mapped),0.211,0.212,0.213,0.215,0.22,0.2142,0.213,1.071
