Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.206647,0.203481,0.207096,0.208136,0.207072,0.206486,0.207072,1.03243
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.636932,0.641882,0.634246,0.643516,0.642672,0.63985,0.641882,3.19925
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.194852,0.190782,0.189116,0.191016,0.194144,0.191982,0.191016,0.959911
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.65337,1.65609,1.65692,1.66494,1.65417,1.6571,1.65609,8.28548
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.802948,0.803278,0.811745,0.813797,0.80772,0.807898,0.80772,4.03949
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.498613,0.49657,0.491926,0.496686,0.501105,0.49698,0.496686,2.4849
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.30489,0.302845,0.300891,0.304532,0.311791,0.30499,0.304532,1.52495
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.654317,0.661005,0.650728,0.654008,0.656635,0.655338,0.654317,3.27669
-----,-----,-----,-----,-----,Removed duplicate clear() in readCell() when using basic reader,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.20706,0.20439,0.205547,0.205423,0.202508,0.204985,0.205423,1.02493
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.635228,0.643182,0.652995,0.646488,0.641909,0.64396,0.643182,3.2198
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.197984,0.192851,0.18882,0.189396,0.191446,0.192099,0.191446,0.960496
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.65381,1.66185,1.65817,1.66372,1.66769,1.66105,1.66185,8.30524
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.809118,0.806901,0.806868,0.814071,0.796778,0.806747,0.806901,4.03374
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.48052,0.479007,0.479534,0.475475,0.475155,0.477938,0.479007,2.38969
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.308403,0.304633,0.302948,0.313193,0.308458,0.307527,0.308403,1.53763
2017-10-01,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.653531,0.656263,0.657102,0.669502,0.662538,0.659787,0.657102,3.29894
-----,-----,-----,-----,-----,Moved return value handling to ParsingImplementations and removed it's support from barebones reader.,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.213193,0.20689,0.207996,0.212018,0.20956,0.209932,0.20956,1.04966
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.701609,0.700165,0.701681,0.704677,0.709352,0.703497,0.701681,3.51748
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.196042,0.199555,0.196603,0.191929,0.198281,0.196482,0.196603,0.98241
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.6999,1.69475,1.70094,1.70306,1.69444,1.69862,1.6999,8.49309
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.786148,0.791419,0.789152,0.78333,0.789591,0.787928,0.789152,3.93964
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.467253,0.45918,0.46039,0.466781,0.461277,0.462976,0.461277,2.31488
2017-10-07,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.318872,0.322514,0.316703,0.316868,0.315152,0.318022,0.316868,1.59011
